date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,data_type
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,52,3.1,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,53,1.4,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,54,1.6,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,55,1.7,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,56,2.6,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,57,1.7,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,58,1,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,59,1.7,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],OP50,Tyrosine,oct_1.0,1,60,2.1,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,61,8.1,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,62,1.5,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,63,5.2,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,64,3.8,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,65,2.7,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,66,3.1,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,67,4.4,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,68,1.8,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,69,5.1,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,70,3.2,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,71,2.4,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,72,5.6,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,73,1.9,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,74,11.5,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,75,1.6,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,76,3.5,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,77,8.8,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,78,2.7,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,79,6.2,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[tbh-1p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,80,5.9,NA,NA,Ex6,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,81,6.1,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,82,2.6,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,83,1.6,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,84,0.8,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,85,2.3,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,86,1.9,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,87,1.5,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,88,3.6,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,89,0.8,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,90,1.5,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,91,0.8,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,92,3.1,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,93,2.8,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,94,1.7,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,95,2.6,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,96,2.4,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,97,2.7,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,98,1.6,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,99,1.5,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],OP50,Tyrosine,oct_1.0,1,100,1.6,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,101,1.6,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,102,20,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,103,4,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,104,20,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,105,20,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,106,2.5,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,107,20,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,108,3.5,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,109,3.8,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,110,1.3,NA,NA,,raw
2019-12-20,tbh-1; ex[lim-7p::tbh-1a],JUb39,Tyrosine,oct_1.0,2,111,1.3,NA,NA,,raw
