date,genotype,strain,plate,group,odorant.order,soak.order,source.plate,assay,conc,nCue,nControl,outside,dead,fungus,note,user,bench,scorer
7_23_15,N2,PA103,46,A,2,NA,B1,IAA,0.01,111,1,2,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,47,A,3,NA,C1,IAA,0.01,124,2,5,,,,MOD,MOD,MOD
7_23_15,N2,OP50,48,A,4,NA,D1,IAA,0.01,76,8,0,,,,MOD,MOD,MOD
7_23_15,N2,PAK,49,A,5,NA,A1,bz,0.005,71,6,1,,,,MOD,MOD,MOD
7_23_15,N2,PA103,50,A,6,NA,B1,bz,0.005,40,4,2,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,51,A,7,NA,C1,bz,0.005,211,6,1,,,,MOD,MOD,MOD
7_23_15,N2,OP50,52,A,8,NA,D1,bz,0.005,144,1,2,,,,MOD,MOD,MOD
7_23_15,N2,PAK,53,A,9,NA,A1,2-but,0.001,91,1,0,,,,MOD,MOD,MOD
7_23_15,N2,PA103,54,A,10,NA,B1,2-but,0.001,48,1,0,,,,MOD,MOD,MOD
7_23_15,N2,DA1877,55,A,11,NA,C1,2-but,0.001,74,1,3,,,,MOD,MOD,MOD
7_23_15,N2,OP50,56,A,12,NA,D1,2-but,0.001,93,0,2,,,,MOD,MOD,MOD
7_23_15,N2,PAK,57,,,,A1,2-but,0.001,28,2,3,0,0,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,58,,,,A1,1-hex,0.001,112,3,12,3,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,59,,,,A1,diacetyl,,58,2,4,4,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,60,,,,B1,2-but,,104,27,6,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,61,,,,B1,1-hex,,95,22,7,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,62,,,,B1,diacetyl,,69,8,3,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,63,,,,C1,2-but,,122,24,8,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,64,,,,C1,1-hex,,74,3,13,2,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,65,,,,C1,diacetyl,,16,1,7,2,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,66,,,,D1,2-but,,43,35,1,4,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,67,,,,D1,1-hex,,57,8,9,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,68,,,,D1,diacetyl,,25,2,2,3,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,69,,,,A2,IAA,,116,10,6,6,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,70,,,,A2,bz,,32,2,3,4,,temp gradient,PHC,PHC,PHC
7_23_15,N2,OP50,71,,,,A2,2-but,,20,17,8,2,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,72,,,,B2,IAA,,21,1,0,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,73,,,,B2,bz,,38,11,6,4,,temp gradient,PHC,PHC,PHC
7_23_15,N2,DA1877,74,,,,B2,2-but,,49,7,6,2,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,75,,,,C2,IAA,,78,1,4,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,76,,,,C2,bz,,87,10,6,4,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,77,,,,C2,2-but,,34,19,12,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,78,,,,D2,IAA,,91,6,5,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,79,,,,D2,bz,,13,1,2,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,80,,,,D2,2-but,,16,5,3,1,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,81,,,,A3,IAA,,151,3,6,3,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,82,,,,A3,bz,,106,9,9,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PAK,83,,,,A3,2-but,,146,4,5,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,84,,,,B3,IAA,,270,1,5,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,85,,,,B3,bz,,246,15,3,0,,temp gradient,PHC,PHC,PHC
7_23_15,N2,PA103,86,,,,B3,2-but,,113,35,7,0,,temp gradient,PHC,PHC,PHC
