date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,340,8.9,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,341,7.4,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,342,5.1,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,343,5.2,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,344,6.6,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,345,1.3,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,346,1.5,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,347,8.4,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,348,8.4,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,349,8,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,350,4.1,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,351,5.9,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,352,3.9,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,353,2.6,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,354,5.2,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,355,4.6,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,356,7.7,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,357,4.3,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,358,1.6,NA,NA,non-paralyzed
2018_10_23,N2,OP50,Tyrosine,oct_1.0,39,359,6.6,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,Tyrosine,oct_1.0,40,361,4.5,NA,NA,non-paralyzed
2018_10_23,N2,JUb39,Tyrosine,oct_1.0,40,364,6.1,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,391,9.1,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,392,7,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,393,5.8,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,394,3.5,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,395,6.3,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,396,4.8,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,397,5.2,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,398,8.9,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,399,11.1,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,400,3.2,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,401,5.5,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,402,2.1,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,403,6.1,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,404,6.3,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,405,4.1,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,406,6,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,407,6.7,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,408,9.5,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,409,2.7,NA,NA,non-paralyzed
2018_10_23,tyra-2,OP50,Tyrosine,oct_1.0,42,410,6.1,NA,NA,non-paralyzed
