date,genotype,animal,food,cond,cue,response.time,pir,group
2019_03_18,N2,2765,OP50,20min_off_food,oct_0.3,7.9,,
2019_03_18,N2,2766,OP50,20min_off_food,oct_0.3,9.9,,
2019_03_18,N2,2767,OP50,20min_off_food,oct_0.3,3.5,,
2019_03_18,N2,2768,OP50,20min_off_food,oct_0.3,1.7,,
2019_03_18,N2,2769,OP50,20min_off_food,oct_0.3,13.3,,
2019_03_18,N2,2770,OP50,20min_off_food,oct_0.3,3.4,,
2019_03_18,N2,2771,OP50,20min_off_food,oct_0.3,8.9,,
2019_03_18,N2,2772,OP50,20min_off_food,oct_0.3,3.1,,
2019_03_18,N2,2773,OP50,20min_off_food,oct_0.3,7.3,,
2019_03_18,N2,2774,OP50,20min_off_food,oct_0.3,5.8,,
2019_03_18,N2,2775,OP50,20min_off_food,oct_0.3,4.4,,
2019_03_18,N2,2776,OP50,20min_off_food,oct_0.3,1.4,,
2019_03_18,N2,2777,OP50,20min_off_food,oct_0.3,9,,
2019_03_18,N2,2778,OP50,20min_off_food,oct_0.3,5.8,,
2019_03_18,N2,2779,OP50,20min_off_food,oct_0.3,3.2,,
2019_03_18,N2,2780,OP50,20min_off_food,oct_0.3,6,,
2019_03_18,N2,2781,OP50,20min_off_food,oct_0.3,4.6,,
2019_03_18,N2,2782,OP50,20min_off_food,oct_0.3,6.5,,
2019_03_18,N2,2783,OP50,20min_off_food,oct_0.3,2.3,,
2019_03_18,N2,2784,OP50,20min_off_food,oct_0.3,6.4,,
2019_03_18,tdc-1,2785,OP50,20min_off_food,oct_0.3,3.8,,
2019_03_18,tdc-1,2786,OP50,20min_off_food,oct_0.3,6.4,,
2019_03_18,tdc-1,2787,OP50,20min_off_food,oct_0.3,4.7,,
2019_03_18,tdc-1,2788,OP50,20min_off_food,oct_0.3,2.8,,
2019_03_18,tdc-1,2789,OP50,20min_off_food,oct_0.3,3.4,,
2019_03_18,tdc-1,2790,OP50,20min_off_food,oct_0.3,1.8,,
2019_03_18,tdc-1,2791,OP50,20min_off_food,oct_0.3,1.6,,
2019_03_18,tdc-1,2792,OP50,20min_off_food,oct_0.3,4,,
2019_03_18,tdc-1,2793,OP50,20min_off_food,oct_0.3,6,,
2019_03_18,tdc-1,2794,OP50,20min_off_food,oct_0.3,2.8,,
2019_03_18,tdc-1,2795,OP50,20min_off_food,oct_0.3,2,,
2019_03_18,tdc-1,2796,OP50,20min_off_food,oct_0.3,2.4,,
2019_03_18,tdc-1,2797,OP50,20min_off_food,oct_0.3,3,,
2019_03_18,tdc-1,2798,OP50,20min_off_food,oct_0.3,4.1,,
2019_03_18,tdc-1,2799,OP50,20min_off_food,oct_0.3,4.3,,
2019_03_18,tdc-1,2800,OP50,20min_off_food,oct_0.3,2.8,,
2019_03_18,tdc-1,2801,OP50,20min_off_food,oct_0.3,4.5,,
2019_03_18,tdc-1,2802,OP50,20min_off_food,oct_0.3,2.4,,
2019_03_18,tdc-1,2803,OP50,20min_off_food,oct_0.3,8.4,,
2019_03_18,tdc-1,2804,OP50,20min_off_food,oct_0.3,2.8,,
2019_03_18,N2,2765,JUb39,20min_off_food,oct_0.3,2.2,,
2019_03_18,N2,2766,JUb39,20min_off_food,oct_0.3,5.9,,
2019_03_18,N2,2767,JUb39,20min_off_food,oct_0.3,11.3,,
2019_03_18,N2,2768,JUb39,20min_off_food,oct_0.3,8.4,,
2019_03_18,N2,2769,JUb39,20min_off_food,oct_0.3,7.8,,
2019_03_18,N2,2770,JUb39,20min_off_food,oct_0.3,14.1,,
2019_03_18,N2,2771,JUb39,20min_off_food,oct_0.3,3.9,,
2019_03_18,N2,2772,JUb39,20min_off_food,oct_0.3,3.2,,
2019_03_18,N2,2773,JUb39,20min_off_food,oct_0.3,8.9,,
2019_03_18,N2,2774,JUb39,20min_off_food,oct_0.3,2.2,,
2019_03_18,N2,2775,JUb39,20min_off_food,oct_0.3,4.4,,
2019_03_18,N2,2776,JUb39,20min_off_food,oct_0.3,12.6,,
2019_03_18,N2,2777,JUb39,20min_off_food,oct_0.3,12.8,,
2019_03_18,N2,2778,JUb39,20min_off_food,oct_0.3,6.4,,
2019_03_18,N2,2779,JUb39,20min_off_food,oct_0.3,2.9,,
2019_03_18,N2,2780,JUb39,20min_off_food,oct_0.3,9.9,,
2019_03_18,N2,2781,JUb39,20min_off_food,oct_0.3,8.6,,
2019_03_18,N2,2782,JUb39,20min_off_food,oct_0.3,5.4,,
2019_03_18,N2,2783,JUb39,20min_off_food,oct_0.3,4.5,,
2019_03_18,N2,2784,JUb39,20min_off_food,oct_0.3,6.3,,
2019_03_18,tdc-1,2785,JUb39,20min_off_food,oct_0.3,4,,
2019_03_18,tdc-1,2786,JUb39,20min_off_food,oct_0.3,13,,
2019_03_18,tdc-1,2787,JUb39,20min_off_food,oct_0.3,11.2,,
2019_03_18,tdc-1,2788,JUb39,20min_off_food,oct_0.3,6,,
2019_03_18,tdc-1,2789,JUb39,20min_off_food,oct_0.3,6.9,,
2019_03_18,tdc-1,2790,JUb39,20min_off_food,oct_0.3,8.1,,
2019_03_18,tdc-1,2791,JUb39,20min_off_food,oct_0.3,3.8,,
2019_03_18,tdc-1,2792,JUb39,20min_off_food,oct_0.3,3.4,,
2019_03_18,tdc-1,2793,JUb39,20min_off_food,oct_0.3,1.4,,
2019_03_18,tdc-1,2794,JUb39,20min_off_food,oct_0.3,12.1,,
2019_03_18,tdc-1,2795,JUb39,20min_off_food,oct_0.3,4.5,,
2019_03_18,tdc-1,2796,JUb39,20min_off_food,oct_0.3,4.3,,
2019_03_18,tdc-1,2797,JUb39,20min_off_food,oct_0.3,20,,
2019_03_18,tdc-1,2798,JUb39,20min_off_food,oct_0.3,1.8,,
2019_03_18,tdc-1,2799,JUb39,20min_off_food,oct_0.3,1.9,,
2019_03_18,tdc-1,2800,JUb39,20min_off_food,oct_0.3,9.1,,
2019_03_18,tdc-1,2801,JUb39,20min_off_food,oct_0.3,6.8,,
2019_03_18,tdc-1,2802,JUb39,20min_off_food,oct_0.3,11.8,,
2019_03_18,tdc-1,2803,JUb39,20min_off_food,oct_0.3,4.5,,
2019_03_18,tdc-1,2804,JUb39,20min_off_food,oct_0.3,18.6,,
2019_04_09,N2,3142,OP50,20min_off_food,oct_0.3,10.4,,
2019_04_09,N2,3143,OP50,20min_off_food,oct_0.3,1.5,,
2019_04_09,N2,3144,OP50,20min_off_food,oct_0.3,1.8,,
2019_04_09,N2,3145,OP50,20min_off_food,oct_0.3,2.6,,
2019_04_09,N2,3146,OP50,20min_off_food,oct_0.3,4.6,,
2019_04_09,N2,3147,OP50,20min_off_food,oct_0.3,3.6,,
2019_04_09,N2,3148,OP50,20min_off_food,oct_0.3,9.3,,
2019_04_09,N2,3149,OP50,20min_off_food,oct_0.3,8.8,,
2019_04_09,N2,3150,OP50,20min_off_food,oct_0.3,2.9,,
2019_04_09,N2,3151,OP50,20min_off_food,oct_0.3,1.6,,
2019_04_09,N2,3152,OP50,20min_off_food,oct_0.3,4.8,,
2019_04_09,N2,3153,OP50,20min_off_food,oct_0.3,5.5,,
2019_04_09,N2,3154,OP50,20min_off_food,oct_0.3,1.5,,
2019_04_09,N2,3155,OP50,20min_off_food,oct_0.3,4.6,,
2019_04_09,N2,3156,OP50,20min_off_food,oct_0.3,2.9,,
2019_04_09,N2,3157,OP50,20min_off_food,oct_0.3,1.8,,
2019_04_09,N2,3158,OP50,20min_off_food,oct_0.3,6.1,,
2019_04_09,N2,3159,OP50,20min_off_food,oct_0.3,1.8,,
2019_04_09,N2,3160,OP50,20min_off_food,oct_0.3,4.1,,
2019_04_09,N2,3161,OP50,20min_off_food,oct_0.3,3.3,,
2019_04_09,tdc-1,3162,OP50,20min_off_food,oct_0.3,0.7,,
2019_04_09,tdc-1,3163,OP50,20min_off_food,oct_0.3,3.6,,
2019_04_09,tdc-1,3164,OP50,20min_off_food,oct_0.3,3.5,,
2019_04_09,tdc-1,3165,OP50,20min_off_food,oct_0.3,1.4,,
2019_04_09,tdc-1,3166,OP50,20min_off_food,oct_0.3,3.6,,
2019_04_09,tdc-1,3167,OP50,20min_off_food,oct_0.3,2,,
2019_04_09,tdc-1,3168,OP50,20min_off_food,oct_0.3,2.8,,
2019_04_09,tdc-1,3169,OP50,20min_off_food,oct_0.3,14.7,,
2019_04_09,tdc-1,3170,OP50,20min_off_food,oct_0.3,2.2,,
2019_04_09,tdc-1,3171,OP50,20min_off_food,oct_0.3,0.7,,
2019_04_09,tdc-1,3172,OP50,20min_off_food,oct_0.3,2.4,,
2019_04_09,tdc-1,3173,OP50,20min_off_food,oct_0.3,1.5,,
2019_04_09,tdc-1,3174,OP50,20min_off_food,oct_0.3,0.9,,
2019_04_09,tdc-1,3175,OP50,20min_off_food,oct_0.3,1.3,,
2019_04_09,tdc-1,3176,OP50,20min_off_food,oct_0.3,4.5,,
2019_04_09,tdc-1,3177,OP50,20min_off_food,oct_0.3,4.1,,
2019_04_09,tdc-1,3178,OP50,20min_off_food,oct_0.3,1.3,,
2019_04_09,tdc-1,3179,OP50,20min_off_food,oct_0.3,0.6,,
2019_04_09,tdc-1,3180,OP50,20min_off_food,oct_0.3,3.2,,
2019_04_09,tdc-1,3181,OP50,20min_off_food,oct_0.3,5.8,,
2019_04_09,N2,3182,JUb39,20min_off_food,oct_0.3,0.9,,
2019_04_09,N2,3183,JUb39,20min_off_food,oct_0.3,9.9,,
2019_04_09,N2,3184,JUb39,20min_off_food,oct_0.3,20,,
