date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,456,8.7,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,457,6.1,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,458,3.7,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,459,2.4,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,460,2.1,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,461,8.4,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,462,3.4,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,463,2.6,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,464,2.1,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,465,2.6,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,466,3.5,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,467,2.2,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,468,1.4,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,469,2.9,NA,NA,non-paralyzed
2018_10_29,N2,OP50,off_food,oct_1.0,45,470,2,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,471,10.1,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,472,3.7,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,473,7.1,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,474,4.7,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,475,2.9,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,476,3.4,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,479,10,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,480,4.8,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,482,3.8,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,483,4,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,485,4.9,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,486,3.8,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,487,5.4,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,488,5.8,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,off_food,oct_1.0,46,490,4.7,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,571,5.1,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,572,3.2,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,573,3,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,574,4.4,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,575,8.2,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,576,1.8,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,577,6.7,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,578,5.6,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,579,3.5,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,580,4,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,581,3.8,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,582,3.7,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,583,2.4,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,584,1.8,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,585,5.4,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,586,3,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,587,3.2,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,588,3.4,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,589,3.8,NA,NA,non-paralyzed
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,590,1.1,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,593,9,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,594,13.6,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,596,15.7,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,597,4.9,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,598,6.1,NA,NA,non-paralyzed
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,600,7.5,NA,NA,non-paralyzed
