date,genotype,animal,food,cond,cue,response.time,pir,group,paralyzed,plateID,data_type,log.response
2018_10_23,N2,383,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,7.8,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_23.oct_1.0.Tyrosine,raw,2.0541237336955462
2018_10_23,N2,384,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,4,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_23.oct_1.0.Tyrosine,raw,1.3862943611198906
2018_10_23,N2,385,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,6.9,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_23.oct_1.0.Tyrosine,raw,1.9315214116032138
2018_10_23,N2,386,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,8,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_23.oct_1.0.Tyrosine,raw,2.0794415416798357
2018_10_23,N2,387,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,7.6,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_23.oct_1.0.Tyrosine,raw,2.028148247292285
2018_10_23,N2,388,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,4.8,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_23.oct_1.0.Tyrosine,raw,1.5686159179138452
2018_10_23,N2,389,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,4.9,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_23.oct_1.0.Tyrosine,raw,1.589235205116581
2018_10_23,N2,390,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,5.9,NA,NA,non-paralyzed,N2.JUb39; tdcDel::cmR.2018_10_23.oct_1.0.Tyrosine,raw,1.7749523509116738
2018_10_29,N2,571,OP50,Tyrosine,oct_1.0,5.1,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.62924053973028
2018_10_29,N2,572,OP50,Tyrosine,oct_1.0,3.2,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.1631508098056809
2018_10_29,N2,573,OP50,Tyrosine,oct_1.0,3,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.0986122886681098
2018_10_29,N2,574,OP50,Tyrosine,oct_1.0,4.4,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.4816045409242156
2018_10_29,N2,575,OP50,Tyrosine,oct_1.0,8.2,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,2.1041341542702074
2018_10_29,N2,576,OP50,Tyrosine,oct_1.0,1.8,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,0.5877866649021191
2018_10_29,N2,577,OP50,Tyrosine,oct_1.0,6.7,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.9021075263969205
2018_10_29,N2,578,OP50,Tyrosine,oct_1.0,5.6,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.7227665977411035
2018_10_29,N2,579,OP50,Tyrosine,oct_1.0,3.5,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.252762968495368
2018_10_29,N2,580,OP50,Tyrosine,oct_1.0,4,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.3862943611198906
2018_10_29,N2,581,OP50,Tyrosine,oct_1.0,3.8,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.33500106673234
2018_10_29,N2,582,OP50,Tyrosine,oct_1.0,3.7,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.308332819650179
2018_10_29,N2,583,OP50,Tyrosine,oct_1.0,2.4,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,0.8754687373538999
2018_10_29,N2,584,OP50,Tyrosine,oct_1.0,1.8,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,0.5877866649021191
2018_10_29,N2,585,OP50,Tyrosine,oct_1.0,5.4,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.6863989535702288
2018_10_29,N2,586,OP50,Tyrosine,oct_1.0,3,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.0986122886681098
2018_10_29,N2,587,OP50,Tyrosine,oct_1.0,3.2,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.1631508098056809
2018_10_29,N2,588,OP50,Tyrosine,oct_1.0,3.4,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.2237754316221157
2018_10_29,N2,589,OP50,Tyrosine,oct_1.0,3.8,NA,NA,non-paralyzed,N2.OP50.2018_10_29.oct_1.0.Tyrosine,raw,1.33500106673234
