date,genotype,animal,food,cond,cue,response.time,pir,group
10_24_17,tdc-1,4,OP50,off_food,oct_1.0,1.3,,
10_24_17,tdc-1,5,OP50,off_food,oct_1.0,3.8,,
10_24_17,tdc-1,6,OP50,off_food,oct_1.0,3.6,,
10_24_17,tdc-1,7,OP50,off_food,oct_1.0,1.8,,
10_24_17,tdc-1,8,OP50,off_food,oct_1.0,3.1,,
10_24_17,tdc-1,9,OP50,off_food,oct_1.0,2.9,,
10_24_17,tdc-1,10,OP50,off_food,oct_1.0,0.8,,
10_24_17,N2,1,JUb39,off_food,oct_1.0,20,,
10_24_17,N2,2,JUb39,off_food,oct_1.0,1.6,,
10_24_17,N2,3,JUb39,off_food,oct_1.0,2.3,,
10_24_17,N2,4,JUb39,off_food,oct_1.0,20,,
10_24_17,N2,5,JUb39,off_food,oct_1.0,4,,
10_24_17,N2,6,JUb39,off_food,oct_1.0,2.7,,
10_24_17,N2,7,JUb39,off_food,oct_1.0,20,,
10_24_17,N2,8,JUb39,off_food,oct_1.0,2.1,,
10_24_17,N2,9,JUb39,off_food,oct_1.0,5.9,,
10_24_17,N2,10,JUb39,off_food,oct_1.0,2.4,,
10_24_17,octr-1,1,JUb39,off_food,oct_1.0,3.2,,
10_24_17,octr-1,2,JUb39,off_food,oct_1.0,2.9,,
10_24_17,octr-1,3,JUb39,off_food,oct_1.0,5,,
10_24_17,octr-1,4,JUb39,off_food,oct_1.0,20,,
10_24_17,octr-1,5,JUb39,off_food,oct_1.0,4.9,,
10_24_17,octr-1,6,JUb39,off_food,oct_1.0,3.3,,
10_24_17,octr-1,7,JUb39,off_food,oct_1.0,3.4,,
10_24_17,octr-1,8,JUb39,off_food,oct_1.0,4.8,,
10_24_17,octr-1,9,JUb39,off_food,oct_1.0,1.6,,
10_24_17,octr-1,10,JUb39,off_food,oct_1.0,1.9,,
10_24_17,tdc-1,1,JUb39,off_food,oct_1.0,20,,
10_24_17,tdc-1,2,JUb39,off_food,oct_1.0,20,,
10_24_17,tdc-1,3,JUb39,off_food,oct_1.0,3.6,,
10_24_17,tdc-1,4,JUb39,off_food,oct_1.0,4.6,,
10_24_17,tdc-1,5,JUb39,off_food,oct_1.0,5.6,,
10_24_17,tdc-1,6,JUb39,off_food,oct_1.0,1.7,,
10_24_17,tdc-1,7,JUb39,off_food,oct_1.0,20,,
10_24_17,tdc-1,8,JUb39,off_food,oct_1.0,2.1,,
10_24_17,tdc-1,9,JUb39,off_food,oct_1.0,2.3,,
10_24_17,tdc-1,10,JUb39,off_food,oct_1.0,13.4,,
10_24_17,N2,1,OP50,off_food,oct_1.0,6,,
10_24_17,N2,2,OP50,off_food,oct_1.0,3.4,,
10_24_17,N2,3,OP50,off_food,oct_1.0,3.7,,
10_24_17,N2,4,OP50,off_food,oct_1.0,4.2,,
10_24_17,N2,5,OP50,off_food,oct_1.0,1.4,,
10_24_17,N2,6,OP50,off_food,oct_1.0,0.9,,
10_24_17,N2,7,OP50,off_food,oct_1.0,1.3,,
10_24_17,N2,8,OP50,off_food,oct_1.0,4.8,,
10_24_17,N2,9,OP50,off_food,oct_1.0,0.9,,
10_24_17,N2,10,OP50,off_food,oct_1.0,1.7,,
10_24_17,octr-1,1,OP50,off_food,oct_1.0,0.8,,
10_24_17,octr-1,2,OP50,off_food,oct_1.0,6.1,,
10_24_17,octr-1,3,OP50,off_food,oct_1.0,8.5,,
10_24_17,octr-1,4,OP50,off_food,oct_1.0,0.9,,
10_24_17,octr-1,5,OP50,off_food,oct_1.0,1.4,,
