date,genotype,animal,food,plate,n_cells_code
2018_05_27,N2,1,OP50,1,0
2018_05_27,N2,2,OP50,1,0
2018_05_27,N2,3,OP50,1,0
2018_05_27,N2,4,OP50,1,0
2018_05_27,N2,5,OP50,1,0
2018_05_27,N2,6,OP50,1,0
2018_05_27,N2,7,OP50,1,0
2018_05_27,N2,8,OP50,1,0
2018_05_27,N2,9,OP50,1,0
2018_05_27,N2,10,OP50,1,0
2018_05_27,N2,11,OP50,1,0
2018_05_27,N2,12,OP50,1,1
2018_05_27,N2,13,OP50,1,0
2018_05_27,N2,14,OP50,1,0
2018_05_27,N2,15,OP50,1,0
2018_05_27,N2,16,OP50,1,0
2018_05_27,N2,17,OP50,1,0
2018_05_27,N2,18,OP50,1,0
2018_05_27,N2,19,OP50,1,0
2018_05_27,N2,20,OP50,1,0
2018_05_27,N2,21,JUb39,2,1
2018_05_27,N2,22,JUb39,2,0
2018_05_27,N2,23,JUb39,2,0
2018_05_27,N2,24,JUb39,2,1
2018_05_27,N2,25,JUb39,2,0
2018_05_27,N2,26,JUb39,2,1
2018_05_27,N2,27,JUb39,2,0
2018_05_27,N2,28,JUb39,2,1
2018_05_27,N2,29,JUb39,2,0
2018_05_27,N2,30,JUb39,2,0
2018_05_27,N2,31,JUb39,2,0
2018_05_27,N2,32,JUb39,2,0
2018_05_27,N2,33,JUb39,2,0
2018_05_27,N2,34,JUb39,2,2
2018_05_27,N2,35,JUb39,2,0
2018_05_27,N2,36,JUb39,2,0
2018_05_27,N2,37,JUb39,2,1
2018_05_27,N2,38,JUb39,2,1
2018_05_27,N2,39,JUb39,2,0
2018_05_27,N2,40,JUb39,2,0
2018_05_27,N2,41,JUb39,2,1
2018_05_27,N2,42,JUb39,2,0
2018_05_27,N2,43,JUb39,2,0
2018_05_27,N2,44,JUb39; tdcDel::cmR delAADC,3,1
2018_05_27,N2,45,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,46,JUb39; tdcDel::cmR delAADC,3,1
2018_05_27,N2,47,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,48,JUb39; tdcDel::cmR delAADC,3,1
2018_05_27,N2,49,JUb39; tdcDel::cmR delAADC,3,1
2018_05_27,N2,50,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,51,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,52,JUb39; tdcDel::cmR delAADC,3,1
