date,genotype,animal,food,plate,n_cells_code
2018_05_27,N2,53,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,54,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,55,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,56,JUb39; tdcDel::cmR delAADC,3,2
2018_05_27,N2,57,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,58,JUb39; tdcDel::cmR delAADC,3,1
2018_05_27,N2,59,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,60,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,61,JUb39; tdcDel::cmR delAADC,3,1
2018_05_27,N2,62,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,63,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,64,JUb39; tdcDel::cmR delAADC,3,1
2018_05_27,N2,65,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,66,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,N2,67,JUb39; tdcDel::cmR delAADC,3,0
2018_05_27,octr-1,68,JUb39,4,1
2018_05_27,octr-1,69,JUb39,4,1
2018_05_27,octr-1,70,JUb39,4,0
2018_05_27,octr-1,71,JUb39,4,1
2018_05_27,octr-1,72,JUb39,4,1
2018_05_27,octr-1,73,JUb39,4,0
2018_05_27,octr-1,74,JUb39,4,0
2018_05_27,octr-1,75,JUb39,4,1
2018_05_27,octr-1,76,JUb39,4,0
2018_05_27,octr-1,77,JUb39,4,0
2018_05_27,octr-1,78,JUb39,4,0
2018_05_27,octr-1,79,JUb39,4,0
2018_05_27,octr-1,80,JUb39,4,1
2018_05_27,octr-1,81,JUb39,4,1
2018_05_27,octr-1,82,JUb39,4,1
2018_05_27,octr-1,83,JUb39,4,0
2018_05_27,octr-1,84,JUb39,4,0
2018_05_27,octr-1,85,JUb39,4,0
2018_05_27,octr-1,86,JUb39,4,1
2018_05_27,octr-1,87,JUb39,4,1
2018_05_27,octr-1,88,JUb39,4,0
2018_05_27,octr-1,89,JUb39,4,1
2018_05_27,octr-1,90,JUb39,4,0
2018_07_02,N2,91,OP50,5,0
2018_07_02,N2,92,OP50,5,0
2018_07_02,N2,93,OP50,5,0
2018_07_02,N2,94,OP50,5,1
2018_07_02,N2,95,OP50,5,0
2018_07_02,N2,96,OP50,5,0
2018_07_02,N2,97,OP50,5,0
2018_07_02,N2,98,OP50,5,0
2018_07_02,N2,99,OP50,5,0
2018_07_02,N2,100,OP50,5,0
2018_07_02,N2,101,OP50,5,0
2018_07_02,N2,102,OP50,5,0
2018_07_02,N2,103,OP50,5,0
2018_07_02,N2,104,OP50,5,0
2018_07_02,N2,105,OP50,5,0
2018_07_02,N2,106,JUb39,6,0
2018_07_02,N2,107,JUb39,6,1
2018_07_02,N2,108,JUb39,6,1
2018_07_02,N2,109,JUb39,6,2
2018_07_02,N2,110,JUb39,6,2
2018_07_02,N2,111,JUb39,6,0
2018_07_02,N2,112,JUb39,6,2
2018_07_02,N2,113,JUb39,6,1
2018_07_02,N2,114,JUb39,6,0
2018_07_02,N2,115,JUb39,6,1
2018_07_02,N2,116,JUb39,6,0
2018_07_02,N2,117,JUb39,6,2
2018_07_02,N2,118,JUb39,6,1
2018_07_02,N2,119,JUb39,6,0
2018_07_02,N2,120,JUb39,6,1
2018_07_02,N2,121,JUb39,6,0
2018_07_02,N2,122,JUb39,6,1
2018_07_02,N2,123,JUb39,6,0
2018_07_02,N2,124,JUb39,6,1
2018_07_02,N2,125,JUb39,6,1
2018_07_02,N2,126,JUb39,6,0
2018_07_02,N2,127,JUb39; tdcDel::cmR delAADC,7,0
2018_07_02,N2,128,JUb39; tdcDel::cmR delAADC,7,1
2018_07_02,N2,129,JUb39; tdcDel::cmR delAADC,7,1
2018_07_02,N2,130,JUb39; tdcDel::cmR delAADC,7,1
2018_07_02,N2,131,JUb39; tdcDel::cmR delAADC,7,0
2018_07_02,N2,132,JUb39; tdcDel::cmR delAADC,7,1
2018_07_02,N2,133,JUb39; tdcDel::cmR delAADC,7,1
2018_07_02,N2,134,JUb39; tdcDel::cmR delAADC,7,2
2018_07_02,N2,135,JUb39; tdcDel::cmR delAADC,7,2
2018_07_02,N2,136,JUb39; tdcDel::cmR delAADC,7,0
2018_07_02,N2,137,JUb39; tdcDel::cmR delAADC,7,0
2018_07_02,N2,138,JUb39; tdcDel::cmR delAADC,7,0
2018_07_02,N2,139,JUb39; tdcDel::cmR delAADC,7,0
2018_07_02,N2,140,JUb39; tdcDel::cmR delAADC,7,1
2018_07_02,N2,141,JUb39; tdcDel::cmR delAADC,7,1
2018_07_02,N2,142,JUb39; tdcDel::cmR delAADC,7,1
2018_07_02,N2,143,JUb39; tdcDel::cmR delAADC,7,1
2018_07_02,N2,144,JUb39; tdcDel::cmR delAADC,7,2
2018_07_02,N2,145,JUb39; tdcDel::cmR delAADC,7,0
2018_07_02,N2,146,JUb39; tdcDel::cmR delAADC,7,0
2018_07_12,N2,147,JUb39,8,0
2018_07_12,N2,148,JUb39,8,0
2018_07_12,N2,149,JUb39,8,2
2018_07_12,N2,150,JUb39,8,1
2018_07_12,N2,151,JUb39,8,2
2018_07_12,N2,152,JUb39,8,0
2018_07_12,N2,153,JUb39,8,2
2018_07_12,N2,154,JUb39,8,2
2018_07_12,N2,155,JUb39,8,1
2018_07_12,N2,156,JUb39,8,0
2018_07_12,N2,157,JUb39,8,1
2018_07_12,N2,158,JUb39,8,2
2018_07_12,N2,159,JUb39,8,1
2018_07_12,N2,160,JUb39,8,2
2018_07_12,N2,161,JUb39,8,2
2018_07_12,N2,162,JUb39,8,2
2018_07_12,N2,163,JUb39,8,0
2018_07_12,N2,164,JUb39,8,2
2018_07_12,N2,165,JUb39,8,0
2018_07_12,N2,166,JUb39,8,0
2018_07_12,N2,167,JUb39,8,2
2018_07_12,N2,168,JUb39,8,0
2018_07_12,octr-1,169,JUb39,9,2
2018_07_12,octr-1,170,JUb39,9,0
2018_07_12,octr-1,171,JUb39,9,0
2018_07_12,octr-1,172,JUb39,9,2
2018_07_12,octr-1,173,JUb39,9,1
2018_07_12,octr-1,174,JUb39,9,2
2018_07_12,octr-1,175,JUb39,9,2
2018_07_12,octr-1,176,JUb39,9,1
2018_07_12,octr-1,177,JUb39,9,0
2018_07_12,octr-1,178,JUb39,9,1
2018_07_12,octr-1,179,JUb39,9,2
2018_07_12,octr-1,180,JUb39,9,0
2018_07_12,octr-1,181,JUb39,9,1
2018_07_12,octr-1,182,JUb39,9,0
2018_07_12,octr-1,183,JUb39,9,0
2018_07_12,octr-1,184,JUb39,9,0
2018_07_12,octr-1,185,JUb39,9,0
2018_07_12,octr-1,186,JUb39,9,2
2018_07_12,octr-1,187,JUb39,9,2
2018_07_12,octr-1,188,JUb39,9,0
2018_07_12,octr-1,189,JUb39,9,1
