date,genotype,food,cond,cue,animal,response.time,pir,group,paralyzed,plateID,TA,data_type
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4602,1.6,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4603,1.8,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4606,4.9,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4607,4.6,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4608,1.9,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4609,2.9,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4610,1.6,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4611,1.2,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4612,2.4,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4613,0.8,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4614,1.7,NA,NA,non-paralyzed,251,0,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4615,1.2,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4616,7.1,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4617,4.9,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4619,1.2,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4620,1.3,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4621,3.1,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4622,1.6,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4625,3.8,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4626,1.2,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4628,1.5,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4629,1.5,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4630,2.1,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4631,16,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4633,2.8,NA,NA,non-paralyzed,252,10,raw
2019_05_28,octr-1,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4634,2.2,NA,NA,non-paralyzed,252,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4715,2.2,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4718,11.4,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4719,1.4,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4721,4.5,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4722,0.9,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4725,4,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4726,2.8,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4727,1.2,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4729,0.9,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4730,8.8,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4731,3.1,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4732,2.6,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4733,5.4,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4909,2.2,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4912,11.4,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4913,1.4,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4915,4.5,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4916,0.9,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4919,4,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4920,2.8,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4921,1.2,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4923,0.9,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4924,8.8,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4925,3.1,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4926,2.6,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyrosine,oct_1.0,4927,5.4,NA,NA,non-paralyzed,257,0,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4735,2.1,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4736,4.1,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4737,2.5,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4738,6.6,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4739,8.2,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4740,5.2,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4741,3,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4742,5.4,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4743,4,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4744,1.6,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4745,2.6,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4746,6.2,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4747,2.2,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4748,3.4,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4749,1.6,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4750,14.6,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4751,2.2,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4752,3,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4925,2.1,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4926,4.1,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4927,2.5,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4928,6.6,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4929,8.2,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4930,5.2,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4931,3,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4932,5.4,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4933,4,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4934,1.6,NA,NA,non-paralyzed,258,10,raw
2019_06_03,N2,JUb39; tdcDel::cmR delAADC,Tyr+10mM_TA,oct_1.0,4935,2.6,NA,NA,non-paralyzed,258,10,raw
