date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,tdc,tbh,data_type
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2128,7.8,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2129,5.5,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2130,6,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2131,2,NA,NA,non-paralyzed,mutant,+,raw
2019_01_14,tdc-1,OP50,Tyrosine,oct_1.0,128,2132,2.2,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3302,2.8,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3303,5.2,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3304,2.8,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3305,2.1,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3306,1.5,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3307,2.8,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3308,1.4,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3309,1.2,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3310,2.8,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3311,4.4,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3312,1.7,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3313,4.1,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3314,1.7,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3315,2.2,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3316,1.7,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3317,1.7,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3318,1.4,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3319,1.3,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3320,1.5,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3321,1.6,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,OP50,Tyrosine,oct_1.0,188,3322,4.6,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3322,4,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3324,9.7,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3326,13.5,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3327,1.1,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3328,3.9,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3329,2.3,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3330,1.7,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3331,3.2,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3333,3,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3334,4.4,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3336,4.6,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3337,1.6,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3338,3.3,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3339,1.3,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3340,3,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1,JUb39,Tyrosine,oct_1.0,189,3341,4.9,NA,NA,non-paralyzed,mutant,+,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3342,1.1,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3343,3.5,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3344,1.5,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3345,4.2,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3346,1.9,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3347,2.2,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3348,2.7,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3349,4.5,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3350,3.8,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3351,2.4,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3352,2.5,NA,NA,non-paralyzed,mutant,mutant,raw
2019_04_16,tdc-1; tbh-1,OP50,Tyrosine,oct_1.0,190,3353,1.8,NA,NA,non-paralyzed,mutant,mutant,raw
