date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,tdc,tbh,data_type
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1609,10.1,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1611,9.8,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1612,9.3,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1613,4.4,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1614,5.1,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1615,3.4,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1616,5,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1617,5.9,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1618,5.6,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1619,4.5,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1620,7.1,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1621,4.6,NA,NA,non-paralyzed,+,mutant,raw
2019_01_07,tbh-1,JUb39,Tyrosine,oct_1.0,102,1622,3.8,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1816,8.6,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1817,0.9,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1818,8.5,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1819,6.7,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1820,4.4,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1821,1.8,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1822,6.9,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1823,10.8,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1824,3.8,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1825,1.1,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1826,2.7,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1827,6.8,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1828,10.9,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1829,9.8,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1830,10.1,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1831,5.4,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1832,7.2,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1833,6.6,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1834,4.2,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,JUb39,Tyrosine,oct_1.0,113,1835,5.6,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1836,1.7,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1837,1.8,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1838,1.2,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1839,5.4,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1840,4.6,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1841,1.9,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1842,5.1,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1843,2.1,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1844,1.4,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1845,1.3,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1846,2.3,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1847,1.6,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1848,3.7,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1849,2.9,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1850,1.5,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1851,1.5,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1852,1.4,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1853,0.9,NA,NA,non-paralyzed,+,+,raw
2019_01_14,N2,OP50,Tyrosine,oct_1.0,114,1854,1.5,NA,NA,non-paralyzed,+,+,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1976,8.4,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1977,3.3,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1978,7.2,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1979,5.4,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1980,7,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1981,1.7,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1982,5,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1983,3.6,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1984,1.6,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1985,2.2,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1986,6.4,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1987,2.3,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1988,3.8,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1989,2.3,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1990,2.2,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1991,1.7,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1992,2.2,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1993,1.4,NA,NA,non-paralyzed,+,mutant,raw
2019_01_14,tbh-1,JUb39,Tyrosine,oct_1.0,121,1994,14,NA,NA,non-paralyzed,+,mutant,raw
