genotype,food,replicate,AUC
N2,JUb39,1,2741618
N2,JUb39,2,3412225
N2,JUb39,3,4089766
N2,OP50,1,4759637
N2,OP50,2,4416309
N2,OP50,3,2312699
N2,JUb39_tdc2KO,1,3272374
N2,JUb39_tdc2KO,2,4218410
N2,JUb39_tdc2KO,3,1401689
tdc-1,JUb39,1,255934
tdc-1,JUb39,2,477259
tdc-1,JUb39,3,168925
tdc-1,OP50,1,1
tdc-1,OP50,2,1
tdc-1,OP50,3,1
tdc-1,JUb39_tdc2KO,1,1
tdc-1,JUb39_tdc2KO,2,1
tdc-1,JUb39_tdc2KO,3,1
