date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,line,data_type
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1188,1.8,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1189,1.4,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1190,2.6,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1191,1.7,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1192,3.2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1193,2.9,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1194,1.9,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1195,3.2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1196,1.5,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1197,2.8,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1198,1.5,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1199,2.1,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1200,4.4,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1201,1.5,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1202,1.6,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1203,2.4,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1204,3.1,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1205,2.5,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],OP50,Tyrosine,oct_1.0,260,1206,2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1207,3.5,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1208,2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1209,2.4,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1210,2.4,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1211,2.5,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1212,2.2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1213,4.3,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1214,3.9,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1216,1.5,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1218,2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1219,3.7,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1220,2.6,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1221,5.1,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1222,2.2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1223,3.1,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1224,4.7,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srv11p::octr-1],JUb39,Tyrosine,oct_1.0,260,1226,1.3,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1227,4.1,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1228,2,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1229,2.5,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1230,2.8,NA,NA,non-paralyzed,1,raw
2019_11_16,octr-1; ex[srg47p::octr-1],OP50,Tyrosine,oct_1.0,261,1231,1.9,NA,NA,non-paralyzed,1,raw
