date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,data_type,log.response
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,577,6.7,NA,NA,non-paralyzed,raw,1.9021075263969205
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,578,5.6,NA,NA,non-paralyzed,raw,1.7227665977411035
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,579,3.5,NA,NA,non-paralyzed,raw,1.252762968495368
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,580,4,NA,NA,non-paralyzed,raw,1.3862943611198906
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,581,3.8,NA,NA,non-paralyzed,raw,1.33500106673234
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,582,3.7,NA,NA,non-paralyzed,raw,1.308332819650179
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,583,2.4,NA,NA,non-paralyzed,raw,0.8754687373538999
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,584,1.8,NA,NA,non-paralyzed,raw,0.5877866649021191
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,585,5.4,NA,NA,non-paralyzed,raw,1.6863989535702288
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,586,3,NA,NA,non-paralyzed,raw,1.0986122886681098
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,587,3.2,NA,NA,non-paralyzed,raw,1.1631508098056809
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,588,3.4,NA,NA,non-paralyzed,raw,1.2237754316221157
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,589,3.8,NA,NA,non-paralyzed,raw,1.33500106673234
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,590,1.1,NA,NA,non-paralyzed,raw,0.09531017980432493
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,593,9,NA,NA,non-paralyzed,raw,2.1972245773362196
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,594,13.6,NA,NA,non-paralyzed,raw,2.6100697927420065
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,596,15.7,NA,NA,non-paralyzed,raw,2.7536607123542622
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,597,4.9,NA,NA,non-paralyzed,raw,1.589235205116581
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,598,6.1,NA,NA,non-paralyzed,raw,1.8082887711792655
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,600,7.5,NA,NA,non-paralyzed,raw,2.0149030205422647
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,603,12.9,NA,NA,non-paralyzed,raw,2.5572273113676265
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,604,9.1,NA,NA,non-paralyzed,raw,2.2082744135228043
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,605,6.7,NA,NA,non-paralyzed,raw,1.9021075263969205
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,606,5,NA,NA,non-paralyzed,raw,1.6094379124341003
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,607,10.1,NA,NA,non-paralyzed,raw,2.3125354238472138
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,608,13.6,NA,NA,non-paralyzed,raw,2.6100697927420065
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,609,6.7,NA,NA,non-paralyzed,raw,1.9021075263969205
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,610,4.4,NA,NA,non-paralyzed,raw,1.4816045409242156
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,603,13.5,NA,NA,non-paralyzed,raw,2.6026896854443837
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,604,5.4,NA,NA,non-paralyzed,raw,1.6863989535702288
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,605,2.6,NA,NA,non-paralyzed,raw,0.9555114450274363
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,606,7.3,NA,NA,non-paralyzed,raw,1.9878743481543455
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,607,5.4,NA,NA,non-paralyzed,raw,1.6863989535702288
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,609,8.1,NA,NA,non-paralyzed,raw,2.0918640616783932
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,610,4.2,NA,NA,non-paralyzed,raw,1.4350845252893227
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,611,12.7,NA,NA,non-paralyzed,raw,2.5416019934645457
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,612,6.5,NA,NA,non-paralyzed,raw,1.8718021769015913
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,613,9.4,NA,NA,non-paralyzed,raw,2.2407096892759584
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,614,2,NA,NA,non-paralyzed,raw,0.6931471805599453
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,615,4.3,NA,NA,non-paralyzed,raw,1.4586150226995167
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,617,3.2,NA,NA,non-paralyzed,raw,1.1631508098056809
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,619,16,NA,NA,non-paralyzed,raw,2.772588722239781
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,620,2.2,NA,NA,non-paralyzed,raw,0.7884573603642703
2018_10_29,N2,JUb39; tdcDel::cmR,Tyrosine,oct_1.0,53,621,10.7,NA,NA,non-paralyzed,raw,2.3702437414678603
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,882,2.7,NA,NA,non-paralyzed,raw,0.9932517730102834
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,883,4,NA,NA,non-paralyzed,raw,1.3862943611198906
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,884,2.6,NA,NA,non-paralyzed,raw,0.9555114450274363
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,885,4.8,NA,NA,non-paralyzed,raw,1.5686159179138452
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,886,2.2,NA,NA,non-paralyzed,raw,0.7884573603642703
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,887,1.8,NA,NA,non-paralyzed,raw,0.5877866649021191
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,888,3.7,NA,NA,non-paralyzed,raw,1.308332819650179
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,889,3.4,NA,NA,non-paralyzed,raw,1.2237754316221157
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,890,4.1,NA,NA,non-paralyzed,raw,1.410986973710262
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,891,3.4,NA,NA,non-paralyzed,raw,1.2237754316221157
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,892,1.8,NA,NA,non-paralyzed,raw,0.5877866649021191
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,893,1.7,NA,NA,non-paralyzed,raw,0.5306282510621704
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,894,3.2,NA,NA,non-paralyzed,raw,1.1631508098056809
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,895,1.9,NA,NA,non-paralyzed,raw,0.6418538861723947
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,896,2.2,NA,NA,non-paralyzed,raw,0.7884573603642703
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,897,2.3,NA,NA,non-paralyzed,raw,0.8329091229351039
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,898,1,NA,NA,non-paralyzed,raw,0
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,899,1.4,NA,NA,non-paralyzed,raw,0.3364722366212129
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,900,3.1,NA,NA,non-paralyzed,raw,1.1314021114911006
2018_11_13,N2,OP50,Tyrosine,oct_1.0,65,901,2.7,NA,NA,non-paralyzed,raw,0.9932517730102834
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,904,17.2,NA,NA,non-paralyzed,raw,2.8449093838194073
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,905,5.7,NA,NA,non-paralyzed,raw,1.7404661748405046
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,906,8.1,NA,NA,non-paralyzed,raw,2.0918640616783932
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,907,5,NA,NA,non-paralyzed,raw,1.6094379124341003
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,908,4.1,NA,NA,non-paralyzed,raw,1.410986973710262
