strain,plate,group,date,starting_date,time,day,hours,alive,dead,censored,bagged,total,note
JUb39,2,2,06-Oct,04-Oct,,2,48,10,0,10,0,20,
JUb39,3,2,06-Oct,04-Oct,,2,48,19,0,1,0,20,
JUb39,4,2,06-Oct,04-Oct,,2,48,18,0,2,0,20,
PA14,1,2,06-Oct,04-Oct,,2,48,17,0,3,0,20,
PA14,2,2,06-Oct,04-Oct,,2,48,14,1,5,0,20,
PA14,3,2,06-Oct,04-Oct,,2,48,12,1,7,0,20,
PA14,4,2,06-Oct,04-Oct,,2,48,17,0,3,0,20,
OP50,1,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
OP50,2,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
OP50,3,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
OP50,4,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
JUb39,1,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
JUb39,2,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
JUb39,3,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
JUb39,4,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
PA14,1,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
PA14,2,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
PA14,3,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
PA14,4,3,06-Oct,06-Oct,,0,0,20,0,0,0,20,
OP50,1,1,07-Oct,02-Oct,,5,120,14,1,3,2,20,
OP50,2,1,07-Oct,02-Oct,,5,120,18,1,0,1,20,
OP50,3,1,07-Oct,02-Oct,,5,120,17,1,2,0,20,
OP50,4,1,07-Oct,02-Oct,,5,120,17,0,2,1,20,
JUb39,1,1,07-Oct,02-Oct,,5,120,10,1,9,0,20,
JUb39,2,1,07-Oct,02-Oct,,5,120,11,2,5,2,20,
JUb39,3,1,07-Oct,02-Oct,,5,120,14,1,4,1,20,
JUb39,4,1,07-Oct,02-Oct,,5,120,10,2,5,3,20,
PA14,1,1,07-Oct,02-Oct,,5,120,,,,,0,
PA14,2,1,07-Oct,02-Oct,,5,120,,,,,0,
PA14,3,1,07-Oct,02-Oct,,5,120,,,,,0,
PA14,4,1,07-Oct,02-Oct,,5,120,,,,,0,
OP50,1,2,07-Oct,04-Oct,,3,72,18,0,2,0,20,
OP50,2,2,07-Oct,04-Oct,,3,72,18,0,2,0,20,
OP50,3,2,07-Oct,04-Oct,,3,72,20,0,0,0,20,
OP50,4,2,07-Oct,04-Oct,,3,72,19,0,1,0,20,
JUb39,1,2,07-Oct,04-Oct,,3,72,15,0,4,1,20,
JUb39,2,2,07-Oct,04-Oct,,3,72,9,0,11,0,20,
JUb39,3,2,07-Oct,04-Oct,,3,72,16,0,4,0,20,
JUb39,4,2,07-Oct,04-Oct,,3,72,16,0,4,0,20,
PA14,1,2,07-Oct,04-Oct,,3,72,9,6,5,0,20,
PA14,2,2,07-Oct,04-Oct,,3,72,7,6,7,0,20,
PA14,3,2,07-Oct,04-Oct,,3,72,3,4,9,4,20,
PA14,4,2,07-Oct,04-Oct,,3,72,8,4,5,3,20,
OP50,1,3,07-Oct,06-Oct,,1,24,20,0,0,0,20,
OP50,2,3,07-Oct,06-Oct,,1,24,20,0,0,0,20,
OP50,3,3,07-Oct,06-Oct,,1,24,17,0,3,0,20,
OP50,4,3,07-Oct,06-Oct,,1,24,18,0,2,0,20,
JUb39,1,3,07-Oct,06-Oct,,1,24,18,0,2,0,20,
JUb39,2,3,07-Oct,06-Oct,,1,24,17,0,3,0,20,
JUb39,3,3,07-Oct,06-Oct,,1,24,17,0,3,0,20,
JUb39,4,3,07-Oct,06-Oct,,1,24,18,0,2,0,20,
PA14,1,3,07-Oct,06-Oct,,1,24,20,0,0,0,20,
PA14,2,3,07-Oct,06-Oct,,1,24,18,0,2,0,20,
PA14,3,3,07-Oct,06-Oct,,1,24,17,0,3,0,20,
PA14,4,3,07-Oct,06-Oct,,1,24,20,0,0,0,20,
OP50,1,1,08-Oct,02-Oct,,6,144,13,1,4,2,20,
OP50,2,1,08-Oct,02-Oct,,6,144,16,1,2,1,20,
OP50,3,1,08-Oct,02-Oct,,6,144,16,1,3,0,20,
OP50,4,1,08-Oct,02-Oct,,6,144,15,0,3,2,20,
JUb39,1,1,08-Oct,02-Oct,,6,144,10,1,9,0,20,
JUb39,2,1,08-Oct,02-Oct,,6,144,11,2,5,2,20,
JUb39,3,1,08-Oct,02-Oct,,6,144,14,1,4,1,20,
JUb39,4,1,08-Oct,02-Oct,,6,144,10,2,5,3,20,
PA14,1,1,08-Oct,02-Oct,,6,144,,,,,0,
PA14,2,1,08-Oct,02-Oct,,6,144,,,,,0,
PA14,3,1,08-Oct,02-Oct,,6,144,,,,,0,
PA14,4,1,08-Oct,02-Oct,,6,144,,,,,0,
OP50,1,2,08-Oct,04-Oct,,4,96,18,0,2,0,20,
OP50,2,2,08-Oct,04-Oct,,4,96,18,0,2,0,20,
OP50,3,2,08-Oct,04-Oct,,4,96,15,0,5,0,20,
OP50,4,2,08-Oct,04-Oct,,4,96,14,0,6,0,20,
JUb39,1,2,08-Oct,04-Oct,,4,96,13,0,7,0,20,
JUb39,2,2,08-Oct,04-Oct,,4,96,9,0,11,0,20,
JUb39,3,2,08-Oct,04-Oct,,4,96,15,0,5,0,20,
JUb39,4,2,08-Oct,04-Oct,,4,96,16,0,4,0,20,
PA14,1,2,08-Oct,04-Oct,,4,96,0,11,7,2,20,
PA14,2,2,08-Oct,04-Oct,,4,96,0,11,8,1,20,
PA14,3,2,08-Oct,04-Oct,,4,96,0,7,9,4,20,
PA14,4,2,08-Oct,04-Oct,,4,96,0,8,6,6,20,
OP50,1,3,08-Oct,06-Oct,,2,48,20,0,0,0,20,
OP50,2,3,08-Oct,06-Oct,,2,48,18,0,2,0,20,
OP50,3,3,08-Oct,06-Oct,,2,48,17,0,3,0,20,
OP50,4,3,08-Oct,06-Oct,,2,48,18,0,2,0,20,
JUb39,1,3,08-Oct,06-Oct,,2,48,15,0,5,0,20,
JUb39,2,3,08-Oct,06-Oct,,2,48,17,0,3,0,20,
JUb39,3,3,08-Oct,06-Oct,,2,48,15,0,5,0,20,
JUb39,4,3,08-Oct,06-Oct,,2,48,16,0,3,1,20,
PA14,1,3,08-Oct,06-Oct,,2,48,17,0,3,0,20,
PA14,2,3,08-Oct,06-Oct,,2,48,15,1,3,1,20,
PA14,3,3,08-Oct,06-Oct,,2,48,17,0,3,0,20,
PA14,4,3,08-Oct,06-Oct,,2,48,13,0,6,1,20,
OP50,1,1,09-Oct,02-Oct,,7,168,13,1,4,2,20,
OP50,2,1,09-Oct,02-Oct,,7,168,16,1,2,1,20,
OP50,3,1,09-Oct,02-Oct,,7,168,16,1,3,0,20,
OP50,4,1,09-Oct,02-Oct,,7,168,15,0,3,2,20,
JUb39,1,1,09-Oct,02-Oct,,7,168,10,1,9,0,20,
JUb39,2,1,09-Oct,02-Oct,,7,168,10,3,5,2,20,
JUb39,3,1,09-Oct,02-Oct,,7,168,14,1,4,1,20,
JUb39,4,1,09-Oct,02-Oct,,7,168,10,2,5,3,20,
PA14,1,1,09-Oct,02-Oct,,7,168,,,,,0,
PA14,2,1,09-Oct,02-Oct,,7,168,,,,,0,
PA14,3,1,09-Oct,02-Oct,,7,168,,,,,0,
PA14,4,1,09-Oct,02-Oct,,7,168,,,,,0,
OP50,1,2,09-Oct,04-Oct,,5,120,18,0,2,0,20,
OP50,2,2,09-Oct,04-Oct,,5,120,18,0,2,0,20,
OP50,3,2,09-Oct,04-Oct,,5,120,15,0,5,0,20,
OP50,4,2,09-Oct,04-Oct,,5,120,14,0,6,0,20,
