date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,line
2018_10_23,tyra-2,JUb39,Tyrosine,oct_1.0,43,60,3.3,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,61,5.1,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,62,3.2,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,63,3,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,64,4.4,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,65,8.2,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,66,1.8,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,67,6.7,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,68,5.6,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,69,3.5,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,70,4,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,71,3.8,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,72,3.7,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,73,2.4,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,74,1.8,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,75,5.4,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,76,3,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,77,3.2,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,78,3.4,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,79,3.8,NA,NA,non-paralyzed,
2018_10_29,N2,OP50,Tyrosine,oct_1.0,51,80,1.1,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,81,9,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,82,13.6,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,83,15.7,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,84,4.9,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,85,6.1,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,86,7.5,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,87,12.9,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,88,9.1,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,89,6.7,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,90,5,NA,NA,non-paralyzed,
2018_10_29,N2,JUb39,Tyrosine,oct_1.0,52,91,10.1,NA,NA,non-paralyzed,
