food,animal,neuron,ID,area,mean,,,,,median,,file
OP50,1,ADF,1,4.36,307.762,303,278,363,1341.982,306,128029,
OP50,1,ADF,2,3.312,317.652,326,289,338,1052.148,319,100378,
OP50,1,NSM,3,1.279,1885.951,2037,1317,2116,2411.729,1918,230086,
OP50,1,NSM,4,0.786,1508.747,1473,1043,1684,1186.085,1551,113156,
OP50,2,ADF,5,4.329,258.094,258,243,273,1117.293,258,106593,
OP50,2,ADF,6,5.534,253.57,254,239,268,1403.364,254,133885,
OP50,2,NSM,7,2.243,670.893,704,494,797,1504.891,675,143571,
OP50,2,NSM,8,0.964,1259.5,1341,1042,1407,1214.575,1263,115874,
OP50,3,ADF,9,1.992,436.026,446,362,493,868.37,443,82845,
OP50,3,ADF,10,2.673,399.569,404,358,441,1067.997,400,101890,
OP50,3,NSM,11,0.388,1714.73,1612,1524,1812,665.022,1718,63445,
OP50,3,NSM,12,0.618,2130.966,2114,1936,2319,1317.853,2116,125727,
OP50,4,NSM,13,2.369,3673.177,4095,1742,4095,8701.39,3988,830138,
OP50,4,NSM,14,1.268,3213.694,3057,2030,3675,4075.944,3293,388857,
OP50,5,NSM,15,0.514,2583.245,2532,2284,3060,1326.783,2528,126579,
OP50,5,NSM,16,0.388,1841.514,1820,1600,1953,714.192,1850,68136,
OP50,4,ADF,17,2.558,725.471,651,609,938,1855.446,698,177015,
OP50,4,ADF,18,3.868,475.94,480,407,550,1840.845,478,175622,
OP50,5,ADF,19,2.872,370.106,376,340,401,1062.955,371,101409,
OP50,5,ADF,20,5.828,320.178,321,288,346,1865.97,321,178019,
OP50,6,NSM,21,0.786,4095,4095,4095,4095,3219.241,4095,307125,
OP50,6,NSM,22,0.713,4095,4095,4095,4095,2918.779,4095,278460,
OP50,6,ADF,23,4.685,544.421,539,456,658,2550.823,539,243356,
OP50,6,ADF,24,3.019,605.132,609,494,672,1826.757,608,174278,
OP50,7,NSM,25,1.845,4095,4095,4095,4095,7554.486,4095,720720,
OP50,7,NSM,26,0.671,4084.219,4095,3763,4095,2739.853,4095,261390,
OP50,7,ADF,27,2.558,806.631,778,664,985,2063.019,811,196818,
OP50,7,ADF,28,3.008,678.801,693,575,771,2042.034,679,194816,
OP50,8,NSM,29,1.09,3821.712,4095,3069,4095,4166.099,3967,397458,
OP50,8,NSM,30,0.922,3456.614,3154,2752,4036,3188.393,3505,304182,
OP50,8,ADF,31,4.937,523.594,542,428,597,2584.963,527,246613,
OP50,8,ADF,32,3.711,522.432,518,443,629,1938.526,523,184941,
OP50,9,NSM,33,0.839,4095,4095,4095,4095,3433.857,4095,327600,
OP50,9,NSM,34,0.839,3785.662,4095,3102,4095,3174.463,3860,302853,
OP50,10,NSM,35,1.342,2359.555,2318,1733,2656,3165.763,2393,302023,
OP50,10,NSM,36,1.048,2516.16,2134,1770,2963,2637.404,2562,251616,
OP50,10,ADF,37,4.235,435.458,412,375,512,1844.021,427,175925,
OP50,9,ADF,38,4.56,421.894,418,362,471,1923.673,425,183524,
OP50,9,ADF,39,3.019,573.736,531,393,667,1731.981,582,165236,
OP50,11,NSM,40,0.901,3027.291,2949,2568,3385,2728.921,3097,260347,
OP50,11,NSM,41,1.017,3651.557,4095,2616,4095,3712.685,3692,354201,
OP50,12,NSM,42,1.174,2631.223,2441,1905,3022,3088.973,2670,294697,
OP50,12,NSM,43,0.776,2771.662,3089,2160,3255,2149.861,2805,205103,
OP50,11,ADF,44,2.243,493.907,516,404,620,1107.891,496,105696,
OP50,11,ADF,45,3.417,458.847,448,392,530,1567.918,458,149584,
OP50,12,ADF,46,1.3,458.992,461,403,517,596.575,461,56915,
OP50,12,ADF,47,2.013,394.318,402,367,424,793.571,395,75709,
OP50,13,NSM,48,1.132,1889.509,1905,1258,2163,2139.002,1949,204067,
OP50,13,NSM,49,0.723,1288.058,1206,1157,1490,931.586,1266,88876,
OP50,13,ADF,50,3.071,345.358,344,317,370,1060.659,346,101190,
OP50,13,ADF,51,1.541,315.259,312,292,336,485.761,316,46343,
OP50,14,NSM,52,0.86,2550.634,2464,2016,2811,2192.302,2599,209152,fed-11
OP50,14,NSM,53,0.86,2065.28,1915,1835,2238,1775.134,2073,169353,fed-11
OP50,14,ADF,54,3.071,299.584,303,277,325,920.077,300,87778,fed-11
OP50,14,ADF,55,2.673,339.169,338,300,372,906.555,339,86488,fed-11
OP50,15,NSM,56,0.671,2093.281,2123,1862,2304,1404.255,2103,133970,fed-12
OP50,15,NSM,57,0.671,2547.828,2550,1937,2831,1709.182,2563,163061,fed-12
OP50,15,ADF,58,2.096,374.01,379,342,408,784.064,375,74802,fed-12
OP50,15,ADF,59,3.166,346.086,341,314,396,1095.543,343,104518,fed-12
JUb39,16,NSM,60,0.671,3046.156,2691,2572,3585,2043.48,3010,194954,fed-02
JUb39,16,NSM,61,0.535,1010.176,1028,897,1092,540.015,1019,51519,fed-02
JUb39,16,ADF,62,4.329,364.685,350,311,403,1578.725,365,150615,fed-02
JUb39,16,ADF,63,1.059,282.644,279,263,302,299.226,284,28547,fed-02
JUb39,17,NSM,64,0.566,4094.796,4095,4084,4095,2317.738,4095,221119,fed-03
JUb39,17,NSM,65,0.566,4095,4095,4095,4095,2317.854,4095,221130,fed-03
JUb39,17,ADF,66,3.868,513.049,512,393,625,1984.373,519,189315,fed-03
JUb39,17,ADF,67,4.256,379.466,380,334,426,1614.867,379,154063,fed-03
JUb39,18,NSM,68,0.293,3631.643,3167,3167,3975,1065.858,3694,101686,
JUb39,18,NSM,69,0.335,4095,4095,4095,4095,1373.543,4095,131040,
JUb39,18,ADF,70,2.17,629.754,627,567,692,1366.405,632,130359,
JUb39,18,ADF,71,4.015,586.556,539,428,712,2354.76,584,224651,
JUb39,19,NSM,72,0.933,3817.674,4095,3285,4095,3561.453,3848,339773,fed-05
JUb39,19,NSM,73,0.933,3321.742,3670,1995,4049,3098.805,3442,295635,fed-05
JUb39,19,ADF,74,4.056,492.46,475,434,585,1997.654,487,190582,fed-05
JUb39,19,ADF,75,4.015,434.217,427,378,494,1743.186,434,166305,fed-05
JUb39,20,NSM,76,0.514,1117.592,1139,1046,1210,574.008,1111,54762,fed-06
JUb39,20,ADF,77,4.968,323.764,323,301,349,1608.588,323,153464,fed-06
JUb39,20,ADF,78,6.048,311.354,306,284,338,1883.077,312,179651,fed-06
JUb39,21,NSM,79,0.377,1807.528,1851,1597,1911,682.065,1825,65071,
JUb39,21,NSM,80,0.44,1195.333,1077,1011,1379,526.231,1202,50204,
JUb39,22,NSM,81,0.44,2045.524,2106,1766,2218,900.518,2065,85912,
JUb39,22,NSM,82,0.639,1925.787,1961,1689,2065,1231.335,1945,117473,
JUb39,21,ADF,83,6.792,310.373,308,282,346,2108.133,310,201122,
JUb39,21,ADF,84,5.608,332.613,329,302,384,1865.226,330,177948,
JUb39,22,ADF,85,6.803,320.498,313,289,361,2180.258,318,208003,
JUb39,22,ADF,86,3.186,296.852,292,275,320,945.914,296,90243,
JUb39,23,NSM,87,0.388,3252.459,3244,2984,3569,1261.397,3259,120341,
JUb39,23,NSM,88,0.503,2041.438,2131,1681,2260,1027.107,2053,97989,
JUb39,24,NSM,89,0.377,1805.556,1846,1649,1967,681.321,1803,65000,
JUb39,24,NSM,90,0.168,1279.375,1298,1081,1369,214.564,1298,20470,
JUb39,23,ADF,91,3.438,383.113,404,341,429,1317.161,384,125661,
JUb39,23,ADF,92,4.287,393.988,389,356,450,1689.057,392,161141,
JUb39,24,ADF,93,3.574,323.701,327,299,356,1157.009,324,110382,
JUb39,25,NSM,94,0.839,2782.725,2751,2546,3096,2333.451,2754,222618,
JUb39,25,NSM,95,1.467,2952.471,2796,1849,3726,4332.635,2953,413346,
JUb39,25,ADF,96,5.157,344.404,345,308,374,1776.12,345,169447,
JUb39,25,ADF,97,2.872,373.328,367,345,403,1072.21,374,102292,
JUb39,26,NSM,98,0.608,2307.845,2297,2013,2482,1403.049,2306,133855,
JUb39,26,NSM,99,0.377,1151.028,1119,1070,1219,434.337,1159,41437,
JUb39,27,NSM,100,0.44,1423.31,1443,1254,1528,626.595,1436,59779,
JUb39,27,NSM,101,0.293,1256.036,1304,1098,1332,368.637,1275,35169,
