food,animal,neuron,ID,area,mean,,,,,median,,file
JUb39,26,ADF,102,2.243,390.907,383,356,432,876.849,390,83654,
JUb39,26,ADF,103,1.95,469.742,452,401,513,915.821,472,87372,
JUb39,27,ADF,104,2.809,379.108,382,332,423,1064.967,381,101601,fed-10
JUb39,28,NSM,105,0.514,2717.265,2658,2532,2873,1395.618,2725,133146,
JUb39,28,NSM,106,1.09,3110.712,2733,2580,3455,3391.028,3164,323514,
JUb39,28,ADF,107,3.574,417.742,393,352,486,1493.141,415,142450,
JUb39,28,ADF,108,6.048,369.111,379,317,414,2232.395,373,212977,
JUb39,29,NSM,109,0.566,4090.556,4095,3938,4095,2315.338,4095,220890,
JUb39,29,NSM,110,0.335,2455.969,2014,2014,2764,823.78,2498,78591,
JUb39,29,ADF,111,3.595,603.735,617,463,716,2170.594,615,207081,
JUb39,29,ADF,112,2.6,493.21,506,401,547,1282.099,504,122316,
JUb39,30,NSM,113,0.44,3447.714,2503,2503,3911,1517.815,3538,144804,
JUb39,30,NSM,114,0.356,3124.706,3028,2368,3495,1113.593,3155,106240,
JUb39,30,ADF,115,5.073,522.519,505,400,628,2650.852,522,252899,
JUb39,30,ADF,116,5.073,487.907,495,392,569,2475.26,490,236147,
