food,plate,replicate,n_colonies,n_worms,dilut,n_sup
OP50,1,1,3.75,10,1000,1
OP50,1,2,5.7,10,1000,1
OP50,2,1,1.95,10,1000,7
OP50,2,2,8.35,10,1000,7
JUb39,1,1,43,10,1000,491
JUb39,1,2,120,10,1000,491
JUb39,2,1,80,10,1000,163
JUb39,2,2,69,10,1000,163
